moeda,valor,data_hora
DOLAR AMERICANO/REAL,5.4204,08-09-2025 18:01:49
EURO/REAL,6.36943,08-09-2025 18:01:49
BITCOIN/REAL,607991,08-09-2025 18:01:49
YUAN/REAL,0.76170171,08-09-2025 18:01:49
IENE/REAL,0.03673889,08-09-2025 18:01:49
